eet;temp;consumption_vol;hour_eet;work_day;week_day
2020-12-01 00:00:00;-3.33;3.25;0;1;1
2020-12-01 01:00:00;-3.33;3.5;1;1;1
2020-12-01 02:00:00;-3.89;3.5;2;1;1
2020-12-01 03:00:00;-3.89;3.5;3;1;1
2020-12-01 04:00:00;-3.89;3.75;4;1;1
2020-12-01 05:00:00;-3.89;3.75;5;1;1
2020-12-01 06:00:00;-3.89;3.5;6;1;1
2020-12-01 07:00:00;-3.33;6.25;7;1;1
2020-12-01 08:00:00;-2.78;40.5;8;1;1
2020-12-01 09:00:00;-2.22;46.25;9;1;1
2020-12-01 10:00:00;-0.56;46.75;10;1;1
2020-12-01 11:00:00;1.11;51.25;11;1;1
2020-12-01 12:00:00;2.78;52.75;12;1;1
2020-12-01 13:00:00;2.78;54.75;13;1;1
2020-12-01 14:00:00;3.33;52.75;14;1;1
2020-12-01 15:00:00;3.33;54.25;15;1;1
2020-12-01 16:00:00;2.22;51.0;16;1;1
2020-12-01 17:00:00;1.11;51.0;17;1;1
2020-12-01 18:00:00;0.56;50.75;18;1;1
2020-12-01 19:00:00;0.0;46.75;19;1;1
2020-12-01 20:00:00;-1.11;35.25;20;1;1
2020-12-01 21:00:00;-1.67;3.0;21;1;1
2020-12-01 22:00:00;-1.67;2.5;22;1;1
2020-12-01 23:00:00;-2.22;2.75;23;1;1
2020-12-02 00:00:00;-2.78;2.5;0;1;2
2020-12-02 01:00:00;-3.33;2.75;1;1;2
2020-12-02 02:00:00;-3.89;2.75;2;1;2
2020-12-02 03:00:00;-4.44;2.5;3;1;2
2020-12-02 04:00:00;-4.44;2.75;4;1;2
2020-12-02 05:00:00;-4.44;3.0;5;1;2
2020-12-02 06:00:00;-4.44;2.75;6;1;2
2020-12-02 07:00:00;-3.33;4.25;7;1;2
2020-12-02 08:00:00;-2.78;42.0;8;1;2
2020-12-02 09:00:00;-2.22;50.5;9;1;2
2020-12-02 10:00:00;-0.56;49.25;10;1;2
2020-12-02 11:00:00;0.56;47.0;11;1;2
2020-12-02 12:00:00;2.22;47.0;12;1;2
2020-12-02 13:00:00;2.22;46.25;13;1;2
2020-12-02 14:00:00;2.22;45.75;14;1;2
2020-12-02 15:00:00;2.22;46.75;15;1;2
2020-12-02 16:00:00;1.11;45.5;16;1;2
2020-12-02 17:00:00;0.0;44.5;17;1;2
2020-12-02 18:00:00;-1.11;44.5;18;1;2
2020-12-02 19:00:00;-1.11;44.0;19;1;2
2020-12-02 20:00:00;-1.11;22.0;20;1;2
2020-12-02 21:00:00;-1.67;3.0;21;1;2
2020-12-02 22:00:00;-2.78;2.5;22;1;2
2020-12-02 23:00:00;-4.44;2.5;23;1;2
2020-12-03 00:00:00;-6.11;2.5;0;1;3
2020-12-03 01:00:00;-4.44;2.5;1;1;3
2020-12-03 02:00:00;-3.33;2.5;2;1;3
2020-12-03 03:00:00;-2.22;2.75;3;1;3
2020-12-03 04:00:00;-2.22;2.5;4;1;3
2020-12-03 05:00:00;-2.22;2.75;5;1;3
2020-12-03 06:00:00;-2.78;2.5;6;1;3
2020-12-03 07:00:00;-2.22;6.5;7;1;3
2020-12-03 08:00:00;-1.67;49.5;8;1;3
2020-12-03 09:00:00;-0.56;49.0;9;1;3
2020-12-03 10:00:00;1.11;34.5;10;1;3
2020-12-03 11:00:00;2.78;35.5;11;1;3
2020-12-03 12:00:00;4.44;38.75;12;1;3
2020-12-03 13:00:00;3.89;39.5;13;1;3
2020-12-03 14:00:00;3.89;39.75;14;1;3
2020-12-03 15:00:00;3.89;42.0;15;1;3
2020-12-03 16:00:00;2.78;38.25;16;1;3
2020-12-03 17:00:00;1.11;26.25;17;1;3
2020-12-03 18:00:00;-0.56;34.5;18;1;3
2020-12-03 19:00:00;-1.11;37.75;19;1;3
2020-12-03 20:00:00;-1.67;30.0;20;1;3
2020-12-03 21:00:00;-1.67;2.75;21;1;3
2020-12-03 22:00:00;-2.22;2.5;22;1;3
2020-12-03 23:00:00;-2.22;2.5;23;1;3
2020-12-04 00:00:00;-2.78;2.5;0;1;4
2020-12-04 01:00:00;-2.78;2.75;1;1;4
2020-12-04 02:00:00;-2.78;2.75;2;1;4
2020-12-04 03:00:00;-2.78;2.5;3;1;4
2020-12-04 04:00:00;-2.78;2.5;4;1;4
2020-12-04 05:00:00;-2.78;2.75;5;1;4
2020-12-04 06:00:00;-2.22;2.5;6;1;4
2020-12-04 07:00:00;-1.67;5.0;7;1;4
2020-12-04 08:00:00;-0.56;25.75;8;1;4
2020-12-04 09:00:00;0.0;34.0;9;1;4
2020-12-04 10:00:00;1.67;35.5;10;1;4
2020-12-04 11:00:00;2.78;37.5;11;1;4
2020-12-04 12:00:00;4.44;35.5;12;1;4
2020-12-04 13:00:00;4.44;35.25;13;1;4
2020-12-04 14:00:00;4.44;35.75;14;1;4
2020-12-04 15:00:00;4.44;35.75;15;1;4
2020-12-04 16:00:00;3.33;37.5;16;1;4
2020-12-04 17:00:00;2.78;26.25;17;1;4
2020-12-04 18:00:00;2.22;25.25;18;1;4
2020-12-04 19:00:00;1.67;24.75;19;1;4
